Time	Amplitude
0	0.345321
0.05	0.371093
0.1	0.41104
0.15	0.444544
0.2	0.414906
0.25	0.427792
0.3	0.416195
0.35	0.439389
0.4	0.449698
0.45	0.438101
0.5	0.476759
0.55	0.427792
0.6	0.438101
0.65	0.350476
0.7	0.338878
0.75	0.336301
0.8	0.37367
0.85	0.398154
0.9	0.404597
0.95	0.389134
1	0.41104
1.05	0.434235
1.1	0.404597
1.15	0.36465
1.2	0.408463
1.25	0.430369
1.3	0.441967
1.35	0.353053
1.4	0.322126
1.45	0.35563
1.5	0.365939
1.55	0.387845
1.6	0.386557
1.65	0.369805
1.7	0.40202
1.75	0.417483
1.8	0.435524
1.85	0.396865
1.9	0.429081
1.95	0.463873
2	0.440678
2.05	0.403308
2.1	0.349187
2.15	0.377536
2.2	0.383979
2.25	0.427792
2.3	0.396865
2.35	0.395577
2.4	0.449698
2.45	0.435524
2.5	0.426503
2.55	0.431658
2.6	0.460007
2.65	0.435524
2.7	0.447121
2.75	0.359496
2.8	0.354341
2.85	0.358207
2.9	0.404597
2.95	0.429081
3	0.41104
3.05	0.413617
3.1	0.434235
3.15	0.432946
3.2	0.416195
3.25	0.453564
3.3	0.440678
3.35	0.421349
3.4	0.36465
3.45	0.365939
3.5	0.385268
3.55	0.400731
3.6	0.45743
3.65	0.432946
3.7	0.37367
3.75	0.413617
3.8	0.447121
3.85	0.441967
3.9	0.439389
3.95	0.471605
4	0.460007
4.05	0.440678
4.1	0.400731
4.15	0.35563
4.2	0.380114
4.25	0.378825
4.3	0.41104
4.35	0.431658
4.4	0.405886
4.45	0.398154
4.5	0.417483
4.55	0.422638
4.6	0.45743
4.65	0.436812
4.7	0.447121
4.75	0.429081
4.8	0.37367
4.85	0.344032
4.9	0.349187
4.95	0.374959
5	0.398154
5.05	0.390422
5.1	0.390422
5.15	0.393
5.2	0.427792
5.25	0.386557
5.3	0.417483
5.35	0.386557
5.4	0.439389
5.45	0.44841
5.5	0.41104
5.55	0.367227
5.6	0.382691
5.65	0.395577
5.7	0.45743
5.75	0.395577
5.8	0.429081
5.85	0.427792
5.9	0.434235
5.95	0.449698
6	0.461296
6.05	0.449698
6.1	0.444544
6.15	0.465162
6.2	0.409751
6.25	0.378825
6.3	0.37367
6.35	0.393
6.4	0.438101
6.45	0.431658
6.5	0.414906
6.55	0.443255
6.6	0.435524
6.65	0.441967
6.7	0.452276
6.75	0.45743
6.8	0.449698
6.85	0.447121
6.9	0.382691
6.95	0.358207
7	0.363362
7.05	0.37367
7.1	0.426503
7.15	0.407174
7.2	0.42006
7.25	0.432946
7.3	0.472893
7.35	0.434235
7.4	0.456141
7.45	0.413617
7.5	0.44841
7.55	0.458719
7.6	0.435524
7.65	0.342744
7.7	0.344032
7.75	0.342744
7.8	0.365939
7.85	0.378825
7.9	0.383979
7.95	0.374959
8	0.394288
8.05	0.417483
8.1	0.398154
8.15	0.41104
8.2	0.42006
8.25	0.427792
8.3	0.416195
8.35	0.37367
8.4	0.350476
8.45	0.359496
8.5	0.435524
8.55	0.409751
8.6	0.440678
8.65	0.44841
8.7	0.435524
8.75	0.42006
8.8	0.418772
8.85	0.44841
8.9	0.432946
8.95	0.479336
9	0.403308
9.05	0.412329
9.1	0.365939
9.15	0.383979
9.2	0.438101
9.25	0.435524
9.3	0.416195
9.35	0.445833
9.4	0.481914
9.45	0.440678
9.5	0.460007
9.55	0.465162
9.6	0.454853
9.65	0.490934
9.7	0.453564
9.75	0.367227
9.8	0.363362
9.85	0.367227
9.9	0.439389
9.95	0.431658
10	0.426503
10.05	0.387845
10.1	0.443255
10.15	0.436812
10.2	0.439389
10.25	0.445833
10.3	0.456141
10.35	0.421349
10.4	0.445833
10.45	0.338878
10.5	0.331146
10.55	0.340167
10.6	0.354341
10.65	0.374959
10.7	0.362073
10.75	0.374959
10.8	0.363362
10.85	0.368516
10.9	0.412329
10.95	0.414906
11	0.435524
11.05	0.431658
11.1	0.391711
11.15	0.341455
11.2	0.351764
11.25	0.41104
11.3	0.35563
11.35	0.372382
11.4	0.413617
11.45	0.42006
11.5	0.426503
11.55	0.412329
11.6	0.425215
11.65	0.436812
11.7	0.439389
11.75	0.476759
11.8	0.407174
11.85	0.36465
11.9	0.356919
11.95	0.432946
12	0.405886
12.05	0.386557
12.1	0.412329
12.15	0.412329
12.2	0.399443
12.25	0.417483
12.3	0.41104
12.35	0.456141
12.4	0.436812
12.45	0.465162
12.5	0.42006
12.55	0.383979
12.6	0.350476
12.65	0.408463
12.7	0.417483
12.75	0.450987
